"File","LocalBusiness","FAQPage","JsonLD"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-para-creche-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-para-igreja-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-preco\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-restaurante-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-sao-paulo\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-vila-olimpia\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-zona-leste-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-zona-norte-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-zona-oeste-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-zona-sul\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\blog\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\blog\quanto-custa-avcb-em-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\blog\[slug]\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\clcb-sao-paulo\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\contato\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\empresa-avcb-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\engenheiro-avcb-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\hidrantes\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\laudo-estanqueidade-gas-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\manutencao\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\projeto-escada-pressurizada-avcb-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\projeto-pet\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\projetos-incendio\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\renovacao-avcb\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\servicos\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\servicos\[slug]\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\sobre\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\spda\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\sprinklers\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\treinamento-brigada\page.tsx","False","True","True"
